address,unripeBeans
0x000000009D3a9E5C7c620514e1f36905c4eb91E6,245012495
0x03F52a039d9665C19a771204493B53B81C9405aF,38983
0x069e85D4F1010DD961897dC8C095FBB5FF297434,3
0x07A75Ba044cDAaa624aAbAD27CB95C42510AF4B5,5597709423
0x07c2af75788814BA7e5225b2F5c951eD161cB589,3950790964
0x0872FcfE9C10993c0e55bb0d0c61c327933D6549,312607152450
0x0898512055826732026aC02242E7D7B66fccC2B0,6052292936
0x0c722F3dCf2beBb50fCca45Cd6715EE31A2ad793,10000000007
0x0ccBCaA60D8b59bDf751B70Ee623d58c609170ac,880671171
0x0F1d41cc51e97DC9d0CAd80DC681777EED3675E3,428279265
0x0fC213B53e1182796603F7dEc12A5A01bd09ff35,995577133
0x13b841dBF99456fB55Ac0A7269D9cfBC0ceD7b42,15198015071
0x142Ae08b246845cec2386b5eACb2D3e98a1E04E3,1124907
0x149FfF31BA5992F473DF72404D6fA60F782C3d2C,1
0x15348Ef83CC7DDE3B8659AB946Cd5a31C9F63573,3119075316
0x1860a5C708c1e982E293aA4338bdbCafB7Cb90aC,4269000000
0x18637e9C1f3bBf5D4492D541CE67Dcf39f1609A2,359034500
0x1AFB54B63626E9e78A3D11Bb0Eb3f5660982b0b0,1
0x1b35fcb58F5E1e2a42fF8E66ddf5646966aBf08C,4498918
0x21503C7F8D1C9407cB0D27de13CC95A05F13373A,17787254816
0x250997F21bbcA2fc3d4F42f23d190C0f9c4cBFDd,1
0x28009881f0Ffe85C90725B8B02be55773647C64a,6536615
0x2BFB526403f27751d2333a866b1De0ac8D1b58e8,7250918040
0x2C90f88BE812349fdD5655c9bAd8288c03E7fB23,12609280618
0x2e4145A204598534EA12b772853C08E736248E7B,1
0x2F6e6687FA7F1c8cBBDf5cf5b44A94a43081621c,4854060979
0x32dA7EfC90a9D1Da76F7709097D1Fc8E304CAEc4,419
0x34a370d288734d23bC48A926Cad90A6615abe4e3,8620593271
0x36991C5863Ead2d72C2b506966d1db72C2C6C6DF,1988631367
0x37A6156e4a6E8B60b2415AF040546cF5e91699bd,37197701
0x380E5b655d459A0cFa6fa2DFBbE586bf40DcFd7F,55629925943
0x3810EAcf5020D020B3317B559E59376c5d02dCB2,477293525
0x38cd808be77b1a61973E7202A8e1b96e98CF315b,498331813
0x3dD413Fd4D03b1d8fD2C9Ed34553F7DeC3B26F5C,6012993619
0x3E03E86E82B611046331E7b16f3e05ACF5a3eF6b,4553885
0x4096E95da697Bd6F7c32E966b7b75F4d1f2817eA,1
0x414a26eaA23583715d71b3294F0BF5eaBDd2EaA8,4727966494
0x44D812A7751AAeE2D517255794DAA3e3fc8117C2,2896855520
0x48A5A6a01bA89cDdF97D2D552923d5a11401Ed19,2141376
0x4df59c31a3008509B3C1FeE7A808C9a28F701719,1
0x5039ed981CeDfCBBB12c4985Df321c1F9d222440,102170250
